Date,Match,Player Actual Win,Player Model Win,Check
8/30,Bublik v Wolf,Bublik,Bublik,Correct
8/30,Navone v Djokovic,Navone,Djokovic,Incorrect
8/30,Landaluce v Fearnley,Fearnley,Landaluce,Incorrect
8/30,Michelsen v Cina,Michelsen,Michelsen / No Data - Cina,Correct
8/30,Gorzny v Collignon,Gorzny,No Data - Both,Incorrect
8/30,Etcheverry v Kopriva,Etcheverry,Etcheverry / No Data - Kopriva,Correct
8/30,Sakamoto v Vukic,Sakamoto,Vukic / No Data - Sakamoto,Incorrect
8/30,Mannarino v Tirante,Mannarino,Mannarino,Correct
8/30,Kecmanovic v Shapovalov,Shapovalov,Shapovalov,Correct
8/30,Samuel v Machac,Samuel,Machac / No Data - Samuel,Incorrect
8/30,Faria v Brooksby,Faria,Brooksby / No Data - Faria,Incorrect
8/30,Medvedev v Gaston,Medvedev,Medvedev,Correct
8/30,Van Assche v Norrie,Van Assche,Norrie,Incorrect
8/30,Wong v Paul,Paul,Paul / No Data - Wong,Correct
8/30,Harris v Kennedy,Harris,Harris / No Data - Kennedy,Correct
8/30,Munar v Atmane,Munar,Munar / No Data - Atmane,Correct
8/30,Majchrzak v Medjedovic,Majchrzak,Majchrzak,Correct
8/30,Prizmic v Shevchenko,Prizmic,Shevchenko / No Data - Prizmic,Incorrect
8/30,Merida Aguilar v Fucsovics,Merida Aguilar,Fucsovics / No Data - Merida,Incorrect
8/30,Wu v Walton,Wu,Wu / No Data - Walton,Correct
8/30,Lehecka v Carreno,Lehecka,Lehecka,Correct
8/30,Chimabukuro v Rinderknech,Rinderknech,Rinderknech / No Data - Chimabukuro,Correct
8/31,Damm Jr. v Tiafoe,Tiafoe,Tiafoe,Correct
8/31,Mensik v Mochizuki,Mensik,Mensik,Correct
8/31,Dimitrov v Popyrin,Popyrin,Dimitrov,Incorrect
8/31,Shelton v Griekspoor,Shelton,Shelton,Correct
8/31,Auger-Aliassime v Hijikata,Auger-Aliassime,Auger-Aliassime,Correct
8/31,Borges v Tien,Tien,Borges / No Data - Tien,Incorrect
8/31,Halys v Diaz,Halys,Halys,Correct
8/31,Burruchaga v Khachanov,Khachanov,Khachanov / No Data - Burruchaga,Correct
8/31,Shang v Trungelliti,Trungelliti,Sheng,Incorrect
8/31,Blockx v Barrios Vera,Blockx,Blockx,Correct
8/31,Berrettini v Wawrinka,Berrettini,Berrettini,Correct
8/31,Hanfmann v Tabilo,Tabilo,Hanfmann,Incorrect
8/31,Darderi v Wendelken,Darderi,Darderi / No Data - Wendelken,Correct
8/31,Nakashima v Baez,Nakashima,Nakashima,Correct
8/31,Dzumhur v Hurkacz,Hurkacz,Hurkacz,Correct
8/31,Svrcina v Royer,Svrcina,Royer / No Data - Svrcina,Incorrect
8/31,Safiullin v Alcaraz,Alcaraz,Alcaraz,Correct
8/31,Rodionov v Mpetshi Perricard,Rodionov,Mpetshi Perricard,Incorrect
8/31,Arnaldi v Duckworth,Duckworth,Arnaldi,Incorrect
8/31,Virtanen v Rublev,Rublev,Rublev / No Data - Virtanen,Correct
8/31,Vacherot v Kovacevic,Vacherot,Kovacevic / No Data - Vacherot,Incorrect
8/31,Tsitsipas v Fils,Tsitsipas,Fils,Incorrect
9/1,Zverev v Sonego,Zverev,Zverev,Correct
9/1,Vallejo v Monfils,Monfils,Monfils / No Data - Vallejo,Correct
9/1,Molcan v Bonzi,Bonzi,Molcan,Incorrect
9/1,Bergs v Taberner,Bergs,Bergs,Correct
9/1,De Jong v Passaro,De Jong,De Jong,Correct
9/1,Fery v Musetti,Musetti,Musetti,Correct
9/1,Cerundolo v Gea,Gea,Cerundolo / No Data - Gea,Incorrect
9/1,Ugo v Struff,Struff,Struff / No Data - Ugo,Correct
9/1,Bellucci v Piros,Bellucci,Bellucci,Correct
9/1,Misolic v Cerundolo,Cerundolo,Cerundolo,Correct
9/1,Basavareddy v Schoolkate,Schoolkate,Basavareddy,Incorrect
9/1,Sweeny v Moutet,Sweeny,Moutet,Incorrect
9/1,Frtiz v Blanch,Frtiz,Fritz / No Data - Blanch,Correct
9/1,Comesana v Cobolli,Cobolli,Cobolli / No Data - Comesana,Correct
9/2,Faria v Alcaraz,Alcaraz,Alcaraz / No Data - Faria,Correct
9/2,Paul v Prizmic,Paul,Paul / No Data - Prizmic,Correct
9/2,Bublik v Mannarino,Bublik,Bublik,Correct
9/2,Vacherot v Majchrzak,Vacherot,Majchrzak / No Data - Vacherot,Incorrect
9/2,Sakamoto v Tiafoe,Tiafoe,Tiafoe / No Data - Sakamoto,Correct
9/2,Berrettini v Navone,Navone,Berrettini,Incorrect
9/2,Duckworth v Wu,Wu,Wu,Correct
9/2,Lehecka v Samuel,Lehecka,Lehecka / No Data - Samuel,Correct
9/2,Tsitsipas v Harris,Tsitsipas,Tsitsipas,Correct
9/2,Shapovalov v Van Assche,Shapovalov,Shapovalov,Correct
9/2,Zheng v Marozsan,Zheng,Marozsan / No Data - Zheng,Incorrect
9/2,Guerrieri v De Minaur,De Minaur,De Minaur / No Data - Guerrieri,Correct
9/2,Jodar v Bu,Bu,Jodar / No Data - Bu,Incorrect
9/2,Ectheverry v Fearnley,Etcheverry,Etcheverry / No Data - Feamley,Correct
9/2,Shelton v Hurkacz,Shelton,Shelton,Correct
9/2,Giron v Buse,Buse,Giron / No Data - Buse,Incorrect
9/2,Choinski v Van De Zandschulp,Van De Zandschulp,Van De Zandschulp / No Data - Svajda,Correct
9/2,Svajda v Altmaier,Svajda,Altmaier / No Data - Svajda,Incorrect
9/2,Merida Aguilar v Rublev,Merida Aguilar,Rublev / No Data - Merida Aguilar,Incorrect
9/2,Nakashima v Michelsen,Michelsen,Michelsen,Correct
9/2,Medvedev v Gorzny,Medvedev,Medvedev / No Data - Gorzny,Correct
9/2,Munar v Rinderknech,Rinderknech,Rinderknech,Correct
9/3,Zverev v Halys,Zverev,Zverev,Correct
9/3,Bu v Zheng,Zheng,No Data - Both,
9/3,Monfils v Tien,Tien,Monfils / No Data - Tien,Incorrect
9/3,Gea v Svajda,Gea,No Data - Both,
9/3,Bergs v De Jong,Bergs,Bergs / No Data - De Jong,Correct
9/3,Van De Zanschulp v De Minaur,Van De Zandschulp,De Minaur,Incorrect
9/3,Bonzi v Buse,Bonzi,Bonzi / No Data - Buse,Correct
9/3,Blockx v Trungelliti,Blockx,Blockx,Correct
9/3,Schoolkate v Cobolli,Cobolli,Cobolli,Correct
9/3,Popyrin v Tabilo,Tabilo,Tabilo,Correct
9/3,Mensik v Rodionov,Mensik,Mensik,Correct
9/3,Sweeny v Musetti,Sweeny,Musetti / No Data - Sweeny,Incorrect
9/3,Fritz v Bellucci ,Fritz,Fritz,Correct
9/3,Auger-Aliassime v Khachanov,Khachanov,Auger-Aliassime,Incorrect
9/3,Struff v Cerundolo,Cerundolo,Cerundolo,Correct
9/3,Darderi v Svrcina,Darderi,Darderi / No Data - Svrcina,Incorrect
9/4,Wu v Alcaraz,Alcaraz,Alcaraz,Correct
9/4,Medvedev v Rinderknech,Medvedev,Medvedev,Correct
9/4,Bublik v Paul,Paul,Paul,Correct
9/4,Tsitsipas v Lehecka,Tsitsipas,Lehecka,Incorrect
9/4,Etcheverry v Navone,Etcheverry,Etcheverry,Correct
9/4,Michelsen v Merida,Michelsen,Michelsen / No Data - Merida,Correct
9/4,Tiafoe v Vacherot,Tiafoe,Tiafoe,Correct
9/4,Shelton v Shapovalov,Shelton,Shelton,Correct
9/5,Fritz v Cerundolo,Cerundolo,Cerundolo,Correct
9/5,Blockx v Cobolli,Blockx,Cobolli ,Incorrect
9/5,Darderi v Sweeny,Darderi,Darderi / No Data - Sweeny,Correct
9/5,Khachanov v Bonzi,Khachanov,Khachanov,Correct
9/5,Zheng v Gea,Gea,No Data - Both,
9/5,Bergs v Van De Zandschulp,Zandschulp,Zandschulp,Correct
9/5,Mensik v Tien,Tien,Mensik,Incorrect
9/5,Zverev v Tabilo,Zverev,Zverev,Correct
9/6,Medvedev v Tiafoe,Tiafoe,Medvedev,Incorrect
9/6,Paul v Alcaraz,Alcaraz,Alcaraz,Correct
